Título,Autores,Preço,Preço com 50%
Estruturas algébricas para licenciatura: Fundamentos de,"Silva, Jhone Caldeira (Autor), Gomes,","R$49,00","R$24,50"
Estruturas algébricas para licenciatura: Elementos de aritmética,"Silva, Jhone Caldeira (Autor), Gomes,","R$79,00","R$39,50"
Estruturas algébricas para licenciatura: Elementos de álgebra,"Silva, Jhone Caldeira (Autor), Gomes,","R$119,00","R$59,50"
Estruturas analíticas de projeto,"Norman, Eric S. (Autor), Brotherton,","R$112,00","R$56,00"
Estruturas de aço para edifícios,"Silva, Valdir Pignatta e (Autor),","R$104,00","R$52,00"
Estruturas metálicas,"Pinheiro, Antonio Carlos da Fonseca","R$129,00","R$64,50"
Estudo de embalagens para o varejo - vol 4,"Coles, Robert E. (Autor)","R$60,00","R$30,00"
Estudo de movimentos e de tempos,"Barnes, Ralph M. (Autor)","R$176,00","R$88,00"
Estudos sobre suicídio,"Cassorla, R. M. S. (Autor)","R$54,00","R$27,00"
Exercícios de fundações,"Alonso, Urbano Rodriguez (Autor)","R$77,00","R$38,50"
Exercícios de topografia,"Borges, Alberto de Campos (Autor)","R$102,00","R$51,00"
Expressão e linguagem,"Namba, Janaina (Autor)","R$65,00","R$32,50"
"Fatores de doença, fatores de cura","Ferro, Antonino (Autor)","R$60,00","R$30,00"
Fernando Pessoa e Freud,"Silva Junior, Nelson da (Autor)","R$84,00","R$42,00"
Filosofia: Coleção A Reflexão e a Prática no Ensino Médio,"Ferreira, Anderson (Autor), Dias, César","R$54,00","R$27,00"
Física - Um curso universitário: Mecânica - Vol.1,"Alonso, Marcelo (Autor), Finn, Edward","R$115,00","R$57,50"
Física - Um curso universitário: Campos e ondas - Vol.2,"Alonso, Marcelo (Autor), Finn, Edward","R$131,00","R$65,50"
Física aplicada à construção,"Costa, Ennio Cruz da (Autor)","R$108,00","R$54,00"
Física com aplicação tecnológica- vol 1,"Telles, Dirceu D'Alkmin (Organizador),","R$97,00","R$48,50"
Física com aplicação tecnológica - vol 2,"Telles, Dirceu D'Alkmin (Organizador),","R$104,00","R$52,00"
Física com aplicação tecnológica- vol 3,"Telles, Dirceu D'Alkmin (Organizador),","R$127,00","R$63,50"
Física com aplicação tecnológica - vol 4,"Casagrande, Douglas (Autor), Ozono,","R$154,00","R$77,00"
"","Moore, Walter John (Autor), Jordan,",,
Físico-química - vol 1,,"R$138,00","R$69,00"
"",Ivo (Coordenador),,
Físico-química - vol 2,"Moore, Walter John (Autor), Jordan,","R$154,00","R$77,00"
Fisioterapia cardiorrespiratória na UTI cardiológica,"Feltrim, Maria Ignêz Zanetti","R$132,00","R$66,00"
